iter	MultiClass
0	2.044548036
1	1.875278834
2	1.758914369
3	1.668101455
4	1.595473281
5	1.534837094
6	1.477377935
7	1.433490821
8	1.396239152
9	1.358385263
10	1.327806333
11	1.298537807
12	1.276068215
13	1.256408737
14	1.234658917
15	1.219391511
16	1.204840226
17	1.189420786
18	1.176683597
19	1.16137892
20	1.149614831
21	1.13778619
22	1.1277649
23	1.119908057
24	1.11016138
25	1.103164902
26	1.096780404
27	1.08965308
28	1.08377584
29	1.07731061
30	1.072960263
31	1.066314958
32	1.061423594
33	1.05668319
34	1.052825599
35	1.048999636
36	1.045281425
37	1.040680441
38	1.036771421
39	1.033486887
40	1.029469053
41	1.026069733
42	1.02274239
43	1.019840724
44	1.017796363
45	1.015424744
46	1.012456583
47	1.009592309
48	1.006970387
49	1.004685753
50	1.002326905
51	0.9998583732
52	0.9972016182
53	0.9951872857
54	0.9928458486
55	0.9907214727
56	0.9883433495
57	0.986078585
58	0.9846028995
59	0.9824045395
60	0.979879111
61	0.9772588396
62	0.9747312661
63	0.9728759373
64	0.9704110471
65	0.9680181908
66	0.9660329096
67	0.9638922148
68	0.9615322186
69	0.9598479344
70	0.9581154083
71	0.9553965717
72	0.9533092762
73	0.9515241895
74	0.9491316079
75	0.9477931815
76	0.9456990683
77	0.9439928684
78	0.9422424151
79	0.9412005684
80	0.939657542
81	0.9380073641
82	0.9368566892
83	0.9355425582
84	0.9340246877
85	0.9329132471
86	0.931640354
87	0.9302856047
88	0.9290841155
89	0.9269171306
90	0.9246340137
91	0.9225424374
92	0.9212209399
93	0.9198205568
94	0.9181582093
95	0.9168047404
96	0.9155008703
97	0.9138722267
98	0.9123853194
99	0.9108351022
100	0.9091741068
101	0.9075940215
102	0.9059977991
103	0.9045445973
104	0.9030440412
105	0.9018242093
106	0.8999684801
107	0.8988817974
108	0.8974397018
109	0.8961792491
110	0.8950530082
111	0.8934536264
112	0.8920537472
113	0.8901218712
114	0.8877074081
115	0.8859099166
116	0.8838845789
117	0.8821048499
118	0.8813435326
119	0.8803454338
120	0.8784549892
121	0.8774819644
122	0.8760936636
123	0.8749149494
124	0.8731558617
125	0.8719348704
126	0.8707914325
127	0.8692750017
128	0.8679237973
129	0.866786762
130	0.8658989184
131	0.8643342955
132	0.863212753
133	0.8615877274
134	0.8604120558
135	0.8596742547
136	0.8587799809
137	0.8581690063
138	0.8568856498
139	0.8558669211
140	0.8545533375
141	0.8537391377
142	0.8528265345
143	0.8522379093
144	0.8510229369
145	0.8501948898
146	0.8489760617
147	0.8478658967
148	0.8469509676
149	0.8462403205
150	0.8448163786
151	0.8436178133
152	0.84296883
153	0.8417508435
154	0.8409800013
155	0.839883222
156	0.8383981994
157	0.8370033155
158	0.8362299668
159	0.8350402488
160	0.8338415923
161	0.8329470332
162	0.8317473069
163	0.8311739383
164	0.8299009221
165	0.8290838138
166	0.8272823486
167	0.8258706165
168	0.8244860873
169	0.8233029148
170	0.8217960299
171	0.8206572613
172	0.8196853242
173	0.8188466481
174	0.8176932873
175	0.8167146609
176	0.8156308099
177	0.814549418
178	0.8139302449
179	0.8128480093
180	0.8120613576
181	0.8111275013
182	0.8100606233
183	0.8087532952
184	0.8074891494
185	0.8064255056
186	0.805329131
187	0.8046121371
188	0.8038020782
189	0.8025932605
190	0.8016302785
191	0.8005781566
192	0.7998365294
193	0.7984615379
194	0.7974351309
195	0.7957007341
196	0.7947303814
197	0.7936689089
198	0.7922741766
199	0.7912720385
200	0.7899933532
201	0.7890477271
202	0.7880469471
203	0.7873940538
204	0.7867954665
205	0.7857851443
206	0.7850528379
207	0.7843742146
208	0.7835725962
209	0.7826686104
210	0.7817309801
211	0.7805261361
212	0.7797695888
213	0.7790127702
214	0.7784701351
215	0.7773378273
216	0.7766022526
217	0.7757857602
218	0.7746347154
219	0.7735783416
220	0.7722829796
221	0.7712728531
222	0.7703953327
223	0.7692096315
224	0.7683503172
225	0.7673581294
226	0.7661216554
227	0.765108636
228	0.7641989643
229	0.7629097394
230	0.7621988331
231	0.7608465353
232	0.7603841088
233	0.758859083
234	0.7575758112
235	0.756203775
236	0.7550292189
237	0.7540310027
238	0.7527247644
239	0.7518133336
240	0.7510842598
241	0.7494164783
242	0.7479417487
243	0.7471595506
244	0.7458227652
245	0.7442411355
246	0.7433571444
247	0.7425926354
248	0.7416866128
249	0.7400245083
250	0.7391188472
251	0.7381482858
252	0.7371463976
253	0.7361501896
254	0.7352645817
255	0.7347533344
256	0.7340165931
257	0.7326924995
258	0.7318637211
259	0.7311553741
260	0.7305651696
261	0.7298431358
262	0.7289022052
263	0.7280969505
264	0.7271345455
265	0.7266979968
266	0.7260756441
267	0.7251856019
268	0.7245429183
269	0.7237981364
270	0.7234070481
271	0.7227644916
272	0.7216571571
273	0.7210377774
274	0.7201475376
275	0.7192810592
276	0.7187054679
277	0.7180144292
278	0.7169061955
279	0.7154721322
280	0.7142944321
281	0.7136577275
282	0.713117379
283	0.7125178425
284	0.7115486152
285	0.7102730461
286	0.7095641385
287	0.7085814735
288	0.7074581928
289	0.7066295671
290	0.7056501508
291	0.7045995692
292	0.7038834927
293	0.7030919235
294	0.7028318958
295	0.7020091304
296	0.7013979108
297	0.7005809667
298	0.6994083242
299	0.6984548906
