iter	Passed	Remaining
0	43	13091
1	83	12385
2	123	12237
3	166	12288
4	212	12564
5	260	12779
6	307	12850
7	351	12821
8	396	12819
9	436	12660
10	477	12533
11	516	12397
12	558	12335
13	602	12304
14	651	12380
15	700	12437
16	751	12514
17	799	12519
18	846	12518
19	894	12519
20	939	12482
21	981	12403
22	1024	12339
23	1067	12278
24	1109	12204
25	1160	12224
26	1210	12241
27	1263	12277
28	1313	12273
29	1363	12268
30	1411	12243
31	1458	12215
32	1501	12148
33	1544	12083
34	1586	12015
35	1630	11954
36	1672	11885
37	1716	11831
38	1762	11797
39	1807	11746
40	1848	11678
41	1892	11624
42	1934	11563
43	1977	11506
44	2019	11445
45	2062	11386
46	2106	11336
47	2149	11283
48	2194	11239
49	2238	11192
50	2280	11133
51	2323	11082
52	2367	11031
53	2410	10980
54	2456	10940
55	2507	10925
56	2557	10903
57	2601	10854
58	2644	10802
59	2688	10755
60	2733	10708
61	2777	10660
62	2822	10616
63	2864	10561
64	2907	10512
65	2951	10464
66	2995	10418
67	3039	10369
68	3082	10320
69	3126	10272
70	3169	10221
71	3215	10181
72	3257	10130
73	3300	10080
74	3343	10031
75	3388	9986
76	3434	9945
77	3475	9891
78	3517	9839
79	3559	9788
80	3602	9739
81	3644	9689
82	3685	9636
83	3728	9587
84	3769	9535
85	3812	9486
86	3853	9433
87	3895	9384
88	3936	9333
89	3979	9284
90	4023	9241
91	4066	9194
92	4108	9144
93	4149	9093
94	4195	9052
95	4243	9017
96	4285	8968
97	4328	8921
98	4369	8871
99	4410	8821
100	4451	8771
101	4491	8719
102	4534	8673
103	4572	8618
104	4614	8570
105	4655	8520
106	4695	8470
107	4736	8419
108	4776	8369
109	4817	8321
110	4856	8268
111	4897	8220
112	4938	8172
113	4979	8124
114	5021	8078
115	5065	8034
116	5107	7988
117	5148	7940
118	5186	7889
119	5228	7842
120	5269	7795
121	5309	7746
122	5348	7697
123	5387	7647
124	5427	7598
125	5467	7550
126	5507	7502
127	5548	7455
128	5587	7406
129	5627	7359
130	5665	7309
131	5704	7260
132	5744	7213
133	5784	7165
134	5823	7117
135	5860	7067
136	5901	7021
137	5941	6974
138	5980	6927
139	6018	6878
140	6059	6832
141	6098	6785
142	6137	6738
143	6176	6691
144	6215	6643
145	6253	6596
146	6292	6549
147	6331	6503
148	6369	6454
149	6406	6406
150	6447	6361
151	6486	6315
152	6524	6268
153	6564	6223
154	6601	6175
155	6641	6130
156	6680	6084
157	6719	6039
158	6758	5993
159	6798	5948
160	6837	5903
161	6876	5857
162	6915	5812
163	6953	5766
164	6993	5721
165	7031	5675
166	7070	5630
167	7109	5585
168	7149	5542
169	7187	5496
170	7227	5452
171	7267	5408
172	7305	5363
173	7342	5316
174	7381	5272
175	7418	5226
176	7458	5183
177	7497	5138
178	7534	5093
179	7577	5051
180	7614	5006
181	7651	4961
182	7690	4916
183	7729	4872
184	7766	4827
185	7804	4783
186	7843	4739
187	7882	4696
188	7921	4652
189	7960	4608
190	7997	4564
191	8038	4521
192	8079	4479
193	8117	4435
194	8156	4391
195	8195	4348
196	8233	4304
197	8272	4261
198	8310	4217
199	8348	4174
200	8389	4132
201	8430	4089
202	8468	4046
203	8505	4002
204	8543	3959
205	8581	3915
206	8619	3872
207	8656	3828
208	8694	3785
209	8732	3742
210	8770	3699
211	8809	3656
212	8847	3613
213	8885	3570
214	8922	3527
215	8961	3484
216	8998	3441
217	9036	3399
218	9075	3356
219	9112	3313
220	9150	3271
221	9190	3228
222	9229	3186
223	9268	3144
224	9307	3102
225	9344	3059
226	9382	3017
227	9420	2974
228	9458	2932
229	9495	2890
230	9533	2847
231	9572	2805
232	9609	2763
233	9648	2721
234	9687	2679
235	9726	2637
236	9765	2595
237	9802	2553
238	9841	2511
239	9879	2469
240	9917	2427
241	9955	2386
242	9994	2344
243	10032	2302
244	10073	2261
245	10112	2219
246	10149	2177
247	10187	2136
248	10225	2094
249	10265	2053
250	10303	2011
251	10342	1969
252	10380	1928
253	10418	1886
254	10456	1845
255	10494	1803
256	10531	1762
257	10569	1720
258	10606	1679
259	10644	1637
260	10682	1596
261	10722	1555
262	10763	1514
263	10800	1472
264	10839	1431
265	10875	1390
266	10915	1349
267	10953	1307
268	10991	1266
269	11029	1225
270	11066	1184
271	11104	1143
272	11142	1102
273	11179	1060
274	11218	1019
275	11255	978
276	11292	937
277	11330	896
278	11367	855
279	11407	814
280	11445	773
281	11482	732
282	11521	692
283	11558	651
284	11596	610
285	11634	569
286	11671	528
287	11709	487
288	11750	447
289	11788	406
290	11825	365
291	11864	325
292	11903	284
293	11940	243
294	11976	202
295	12014	162
296	12051	121
297	12089	81
298	12128	40
299	12165	0
